tau,coef,ci_lo,ci_hi,group,tau_plot,coef_up,coef_down,ci_lo_up,ci_hi_up,ci_lo_down,ci_hi_down,tau_up,tau_down
-4,-.0060342345,-.028200828,.016132358,Upzoned (risk ↑),-4.1199999,-.0060342345,,-.028200828,.016132358,,,-4.1199999,
-3,.0051021418,-.0080558872,.01826017,Upzoned (risk ↑),-3.1199999,.0051021418,,-.0080558872,.01826017,,,-3.1199999,
-2,-.0020681783,-.0072613428,.0031249863,Upzoned (risk ↑),-2.1199999,-.0020681783,,-.0072613428,.0031249863,,,-2.1199999,
-1,0,0,0,Upzoned (risk ↑),-1.12,0,,0,0,,,-1.12,
0,.0043984619,-.0027092982,.011506222,Upzoned (risk ↑),-.12,.0043984619,,-.0027092982,.011506222,,,-.12,
1,.0015523719,-.011151466,.014256209,Upzoned (risk ↑),.88,.0015523719,,-.011151466,.014256209,,,.88,
2,.0016659235,-.018637745,.02196959,Upzoned (risk ↑),1.88,.0016659235,,-.018637745,.02196959,,,1.88,
3,.00069892796,-.023302412,.024700267,Upzoned (risk ↑),2.8800001,.00069892796,,-.023302412,.024700267,,,2.8800001,
4,-.013974645,-.048024725,.020075435,Upzoned (risk ↑),3.8800001,-.013974645,,-.048024725,.020075435,,,3.8800001,
-4,-.0054625133,-.033208687,.022283658,Downzoned (risk ↓),-3.8800001,,-.0054625133,,,-.033208687,.022283658,,-3.8800001
-3,-.0014300158,-.021284854,.018424824,Downzoned (risk ↓),-2.8800001,,-.0014300158,,,-.021284854,.018424824,,-2.8800001
-2,-.0025495898,-.01391965,.0088204695,Downzoned (risk ↓),-1.88,,-.0025495898,,,-.01391965,.0088204695,,-1.88
-1,0,0,0,Downzoned (risk ↓),-.88,,0,,,0,0,,-.88
0,.0009700798,-.011320684,.013260843,Downzoned (risk ↓),.12,,.0009700798,,,-.011320684,.013260843,,.12
1,-.00079084927,-.017152559,.01557086,Downzoned (risk ↓),1.12,,-.00079084927,,,-.017152559,.01557086,,1.12
2,-.0045922752,-.02920917,.02002462,Downzoned (risk ↓),2.1199999,,-.0045922752,,,-.02920917,.02002462,,2.1199999
3,-.0069405464,-.036651347,.022770256,Downzoned (risk ↓),3.1199999,,-.0069405464,,,-.036651347,.022770256,,3.1199999
4,-.020187657,-.058206238,.017830923,Downzoned (risk ↓),4.1199999,,-.020187657,,,-.058206238,.017830923,,4.1199999
