tau,coef,ci_lo,ci_hi,group,coef_q1,coef_q2,coef_q3,coef_q4,ci_lo_q1,ci_hi_q1,ci_lo_q2,ci_hi_q2,ci_lo_q3,ci_hi_q3,ci_lo_q4,ci_hi_q4,tau_q1,tau_q2,tau_q3,tau_q4,ref_q1,ref_q2,ref_q3,ref_q4
-4,-.00034651242,-.032768942,.032075915,Q1 (low),-.00034651242,,,,-.032768942,.032075915,,,,,,,-4,,,,,,,
-3,.00099961087,-.014246016,.016245238,Q1 (low),.00099961087,,,,-.014246016,.016245238,,,,,,,-3,,,,,,,
-2,-.0034496586,-.013466202,.006566884,Q1 (low),-.0034496586,,,,-.013466202,.006566884,,,,,,,-2,,,,,,,
-1,0,0,0,Q1 (low),0,,,,0,0,,,,,,,-1,,,,0,,,
0,.0019061639,-.0073970309,.011209358,Q1 (low),.0019061639,,,,-.0073970309,.011209358,,,,,,,0,,,,,,,
1,.0022457095,-.0080340626,.012525481,Q1 (low),.0022457095,,,,-.0080340626,.012525481,,,,,,,1,,,,,,,
2,.0039088032,-.013548045,.021365652,Q1 (low),.0039088032,,,,-.013548045,.021365652,,,,,,,2,,,,,,,
3,.0064254319,-.014329602,.027180467,Q1 (low),.0064254319,,,,-.014329602,.027180467,,,,,,,3,,,,,,,
4,-.011558617,-.033635587,.010518355,Q1 (low),-.011558617,,,,-.033635587,.010518355,,,,,,,4,,,,,,,
-4,-.015997928,-.045520816,.013524963,Q2 (low-med),,-.015997928,,,,,-.045520816,.013524963,,,,,,-4,,,,,,
-3,.0035919598,-.013024364,.020208282,Q2 (low-med),,.0035919598,,,,,-.013024364,.020208282,,,,,,-3,,,,,,
-2,.0053440379,-.0018876826,.012575759,Q2 (low-med),,.0053440379,,,,,-.0018876826,.012575759,,,,,,-2,,,,,,
-1,0,0,0,Q2 (low-med),,0,,,,,0,0,,,,,,-1,,,,0,,
0,-.0017438873,-.0094975736,.0060097985,Q2 (low-med),,-.0017438873,,,,,-.0094975736,.0060097985,,,,,,0,,,,,,
1,-.012935599,-.028606426,.0027352266,Q2 (low-med),,-.012935599,,,,,-.028606426,.0027352266,,,,,,1,,,,,,
2,-.027934732,-.049907617,-.0059618475,Q2 (low-med),,-.027934732,,,,,-.049907617,-.0059618475,,,,,,2,,,,,,
3,-.036701772,-.066970341,-.0064332066,Q2 (low-med),,-.036701772,,,,,-.066970341,-.0064332066,,,,,,3,,,,,,
4,-.03206189,-.071497165,.0073733809,Q2 (low-med),,-.03206189,,,,,-.071497165,.0073733809,,,,,,4,,,,,,
-4,-.016184263,-.040889017,.0085204914,Q3 (med-high),,,-.016184263,,,,,,-.040889017,.0085204914,,,,,-4,,,,,
-3,-.0083515579,-.03083716,.014134045,Q3 (med-high),,,-.0083515579,,,,,,-.03083716,.014134045,,,,,-3,,,,,
-2,-.0033628992,-.019396739,.012670941,Q3 (med-high),,,-.0033628992,,,,,,-.019396739,.012670941,,,,,-2,,,,,
-1,0,0,0,Q3 (med-high),,,0,,,,,,0,0,,,,,-1,,,,0,
0,-.0047111269,-.015517947,.0060956934,Q3 (med-high),,,-.0047111269,,,,,,-.015517947,.0060956934,,,,,0,,,,,
1,-.011558179,-.029837823,.0067214649,Q3 (med-high),,,-.011558179,,,,,,-.029837823,.0067214649,,,,,1,,,,,
2,-.01572914,-.037633561,.0061752805,Q3 (med-high),,,-.01572914,,,,,,-.037633561,.0061752805,,,,,2,,,,,
3,-.028843731,-.055945225,-.0017422354,Q3 (med-high),,,-.028843731,,,,,,-.055945225,-.0017422354,,,,,3,,,,,
4,-.043277483,-.075472236,-.01108273,Q3 (med-high),,,-.043277483,,,,,,-.075472236,-.01108273,,,,,4,,,,,
-4,-.0041392245,-.039127495,.030849045,Q4 (high),,,,-.0041392245,,,,,,,-.039127495,.030849045,,,,-4,,,,
-3,-.0011384346,-.012619236,.010342368,Q4 (high),,,,-.0011384346,,,,,,,-.012619236,.010342368,,,,-3,,,,
-2,-.0058243424,-.012062162,.00041347681,Q4 (high),,,,-.0058243424,,,,,,,-.012062162,.00041347681,,,,-2,,,,
-1,0,0,0,Q4 (high),,,,0,,,,,,,0,0,,,,-1,,,,0
0,.0031088034,-.0049655274,.011183134,Q4 (high),,,,.0031088034,,,,,,,-.0049655274,.011183134,,,,0,,,,
1,.0037127226,-.01054765,.017973095,Q4 (high),,,,.0037127226,,,,,,,-.01054765,.017973095,,,,1,,,,
2,-.0010027383,-.036875878,.034870401,Q4 (high),,,,-.0010027383,,,,,,,-.036875878,.034870401,,,,2,,,,
3,-.0045671728,-.055582628,.046448283,Q4 (high),,,,-.0045671728,,,,,,,-.055582628,.046448283,,,,3,,,,
4,-.041066848,-.14319839,.061064687,Q4 (high),,,,-.041066848,,,,,,,-.14319839,.061064687,,,,4,,,,
