tau,coef,ci_lo,ci_hi,group,tau_plot,coef_up,coef_down,ci_lo_up,ci_hi_up,ci_lo_down,ci_hi_down,tau_up,tau_down
-4,-.011523615,-.077620305,.054573074,Upzoned (risk ↑),-4.1199999,-.011523615,,-.077620305,.054573074,,,-4.1199999,
-3,.0059424601,-.058799125,.070684046,Upzoned (risk ↑),-3.1199999,.0059424601,,-.058799125,.070684046,,,-3.1199999,
-2,-.01617479,-.063671671,.031322088,Upzoned (risk ↑),-2.1199999,-.01617479,,-.063671671,.031322088,,,-2.1199999,
-1,0,0,0,Upzoned (risk ↑),-1.12,0,,0,0,,,-1.12,
0,-.012658496,-.037211187,.011894193,Upzoned (risk ↑),-.12,-.012658496,,-.037211187,.011894193,,,-.12,
1,-.0078199599,-.039161399,.023521479,Upzoned (risk ↑),.88,-.0078199599,,-.039161399,.023521479,,,.88,
2,.002956345,-.044583149,.050495841,Upzoned (risk ↑),1.88,.002956345,,-.044583149,.050495841,,,1.88,
3,-.00142477,-.059658319,.056808781,Upzoned (risk ↑),2.8800001,-.00142477,,-.059658319,.056808781,,,2.8800001,
4,-.0094640516,-.077650391,.058722291,Upzoned (risk ↑),3.8800001,-.0094640516,,-.077650391,.058722291,,,3.8800001,
-4,-.03535093,-.10042869,.029726826,Downzoned (risk ↓),-3.8800001,,-.03535093,,,-.10042869,.029726826,,-3.8800001
-3,-.055189233,-.11673813,.0063596615,Downzoned (risk ↓),-2.8800001,,-.055189233,,,-.11673813,.0063596615,,-2.8800001
-2,-.019598393,-.069535546,.03033876,Downzoned (risk ↓),-1.88,,-.019598393,,,-.069535546,.03033876,,-1.88
-1,0,0,0,Downzoned (risk ↓),-.88,,0,,,0,0,,-.88
0,-.029535515,-.091886155,.032815125,Downzoned (risk ↓),.12,,-.029535515,,,-.091886155,.032815125,,.12
1,-.063327543,-.12442634,-.0022287541,Downzoned (risk ↓),1.12,,-.063327543,,,-.12442634,-.0022287541,,1.12
2,-.09128426,-.17599215,-.0065763625,Downzoned (risk ↓),2.1199999,,-.09128426,,,-.17599215,-.0065763625,,2.1199999
3,-.045975678,-.1250083,.033056937,Downzoned (risk ↓),3.1199999,,-.045975678,,,-.1250083,.033056937,,3.1199999
4,-.060894053,-.19787535,.076087236,Downzoned (risk ↓),4.1199999,,-.060894053,,,-.19787535,.076087236,,4.1199999
