tau,coef,ci_lo,ci_hi,group,coef_q1,coef_q2,coef_q3,coef_q4,ci_lo_q1,ci_hi_q1,ci_lo_q2,ci_hi_q2,ci_lo_q3,ci_hi_q3,ci_lo_q4,ci_hi_q4,tau_q1,tau_q2,tau_q3,tau_q4,ref_q1,ref_q2,ref_q3,ref_q4
-4,-.0067657339,-.044351485,.030820018,Q1 (low),-.0067657339,,,,-.044351485,.030820018,,,,,,,-4,,,,,,,
-3,.0051155682,-.015116615,.025347751,Q1 (low),.0051155682,,,,-.015116615,.025347751,,,,,,,-3,,,,,,,
-2,-.0026194069,-.015308678,.010069864,Q1 (low),-.0026194069,,,,-.015308678,.010069864,,,,,,,-2,,,,,,,
-1,0,0,0,Q1 (low),0,,,,0,0,,,,,,,-1,,,,0,,,
0,.00062552316,-.01045843,.011709476,Q1 (low),.00062552316,,,,-.01045843,.011709476,,,,,,,0,,,,,,,
1,.0004382912,-.013790832,.014667414,Q1 (low),.0004382912,,,,-.013790832,.014667414,,,,,,,1,,,,,,,
2,-.00010068193,-.022563934,.022362569,Q1 (low),-.00010068193,,,,-.022563934,.022362569,,,,,,,2,,,,,,,
3,.0033210502,-.021844974,.028487075,Q1 (low),.0033210502,,,,-.021844974,.028487075,,,,,,,3,,,,,,,
4,-.014497181,-.040717732,.011723369,Q1 (low),-.014497181,,,,-.040717732,.011723369,,,,,,,4,,,,,,,
-4,-.0059334505,-.03870748,.026840579,Q2 (low-med),,-.0059334505,,,,,-.03870748,.026840579,,,,,,-4,,,,,,
-3,.0036038756,-.015472091,.022679841,Q2 (low-med),,.0036038756,,,,,-.015472091,.022679841,,,,,,-3,,,,,,
-2,.0063338731,-.0029718697,.015639616,Q2 (low-med),,.0063338731,,,,,-.0029718697,.015639616,,,,,,-2,,,,,,
-1,0,0,0,Q2 (low-med),,0,,,,,0,0,,,,,,-1,,,,0,,
0,-.0013257037,-.0090152556,.0063638478,Q2 (low-med),,-.0013257037,,,,,-.0090152556,.0063638478,,,,,,0,,,,,,
1,-.014562743,-.031682432,.0025569473,Q2 (low-med),,-.014562743,,,,,-.031682432,.0025569473,,,,,,1,,,,,,
2,-.026049469,-.050086584,-.0020123529,Q2 (low-med),,-.026049469,,,,,-.050086584,-.0020123529,,,,,,2,,,,,,
3,-.034792494,-.068309478,-.001275512,Q2 (low-med),,-.034792494,,,,,-.068309478,-.001275512,,,,,,3,,,,,,
4,-.026428761,-.068347275,.015489753,Q2 (low-med),,-.026428761,,,,,-.068347275,.015489753,,,,,,4,,,,,,
-4,-.020796355,-.055652827,.014060115,Q3 (med-high),,,-.020796355,,,,,,-.055652827,.014060115,,,,,-4,,,,,
-3,-.0085396031,-.038745504,.021666298,Q3 (med-high),,,-.0085396031,,,,,,-.038745504,.021666298,,,,,-3,,,,,
-2,-.0051551946,-.025329322,.015018932,Q3 (med-high),,,-.0051551946,,,,,,-.025329322,.015018932,,,,,-2,,,,,
-1,0,0,0,Q3 (med-high),,,0,,,,,,0,0,,,,,-1,,,,0,
0,-.0021635199,-.015607283,.011280242,Q3 (med-high),,,-.0021635199,,,,,,-.015607283,.011280242,,,,,0,,,,,
1,-.0081359791,-.031736035,.015464078,Q3 (med-high),,,-.0081359791,,,,,,-.031736035,.015464078,,,,,1,,,,,
2,-.012417069,-.038559478,.013725339,Q3 (med-high),,,-.012417069,,,,,,-.038559478,.013725339,,,,,2,,,,,
3,-.026944542,-.056820754,.0029316721,Q3 (med-high),,,-.026944542,,,,,,-.056820754,.0029316721,,,,,3,,,,,
4,-.052669492,-.088706166,-.016632821,Q3 (med-high),,,-.052669492,,,,,,-.088706166,-.016632821,,,,,4,,,,,
-4,-.0050596744,-.045341074,.035221726,Q4 (high),,,,-.0050596744,,,,,,,-.045341074,.035221726,,,,-4,,,,
-3,.0074845678,-.0044147354,.019383872,Q4 (high),,,,.0074845678,,,,,,,-.0044147354,.019383872,,,,-3,,,,
-2,-.0018310235,-.0084902178,.0048281704,Q4 (high),,,,-.0018310235,,,,,,,-.0084902178,.0048281704,,,,-2,,,,
-1,0,0,0,Q4 (high),,,,0,,,,,,,0,0,,,,-1,,,,0
0,-.0045703263,-.011555731,.0024150785,Q4 (high),,,,-.0045703263,,,,,,,-.011555731,.0024150785,,,,0,,,,
1,-.013403934,-.027463999,.00065612938,Q4 (high),,,,-.013403934,,,,,,,-.027463999,.00065612938,,,,1,,,,
2,-.020968314,-.054314177,.012377547,Q4 (high),,,,-.020968314,,,,,,,-.054314177,.012377547,,,,2,,,,
3,-.026471106,-.066374689,.013432475,Q4 (high),,,,-.026471106,,,,,,,-.066374689,.013432475,,,,3,,,,
4,-.047173075,-.14348683,.049140684,Q4 (high),,,,-.047173075,,,,,,,-.14348683,.049140684,,,,4,,,,
